Device_ID,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,num_steps,skewness,kurt,ratio,bandpower,snr,thd
p69b,1.0134760360804203,0.17353875889260714,0.9956644556264147,0.5468789979669343,2.015043404976502,3,0.0,-3.0,1.2612223143033119,0.0301157008379864,1.4666874089488952e-15,0.9224103418050229
p71a,1.1517837222589002,0.5875983553139588,1.017984681771459,0.18567865422814134,7.309457277154642,11,0.0,-3.0,3.395326852717947,0.3452718271676681,-4.01915551744164e-15,0.9917327488102017
p71b,1.1352444200632947,0.5794274385642174,1.0182656462535036,0.20211147636177296,6.073385609475881,9,0.0,-3.0,0.5857177272881846,0.3357361565610905,2.218704980736857e-16,0.9854738721045015
p73a,1.0768434279002397,0.3043194703152272,1.0070422079884345,0.10211026817009915,2.9997276325159676,9,0.0,-3.0,0.5726632859014777,0.09261034001294045,4.358939654448197e-15,0.972930146344504
p73b,1.050280513903858,0.26597454067881654,1.027054790177544,0.2742450811508714,2.0494755610873994,2,0.0,-3.0,0.8392022303061963,0.07074245628930745,1.317352824313651e-15,0.9415789987107099
p75b,1.0517372896419777,0.17428372705957623,1.0212990004985611,0.4375905896812125,1.6308082953750982,1,0.0,-3.0,0.0,0.030374817517776855,1.016522033349888e-15,0.7702708431555881
p76a,1.151278897828115,0.34799733382992093,1.063534522395718,0.38362997460876314,2.4348725917564313,4,0.0,-3.0,2.0508319384575935,0.12110214435273339,-8.903219972431355e-16,0.9373838780150766
p76b,1.05463068573033,0.20642876989526146,1.0130358513579596,0.5827542105659045,1.620223633659154,1,0.0,-3.0,0.0,0.04261283704047081,-4.323681412895233e-16,1.0005105880363603
p77a,1.0903681781769854,0.30464793000947554,1.050250816131546,0.40367211251826285,2.1487612781604897,2,0.0,-3.0,0.36402542787448416,0.09281036125905832,-1.3119415873025132e-16,0.9645903337965008
p81a,1.025273762915091,0.19831870932639384,1.0029446212832336,0.44056037462094405,2.137851373165606,4,0.0,-3.0,0.4297793948827273,0.03933031046888668,1.3175654163022394e-15,0.9397051725270936
p82a,1.1025400595349781,0.4803437609529384,1.0009519173914416,0.20024418350662038,4.001264910826404,11,0.0,-3.0,0.8643769778123307,0.23073012868641382,2.657201688626372e-15,0.9904335541369799
p82b,1.1264277038184625,0.3194957182579012,1.0042546971695536,0.8366638911920167,2.4823924029309192,1,0.0,-3.0,0.0,0.10207751398513215,-8.01905311194887e-17,1.0000000000000002
p83a,11.533401671055413,4.749121762438113,10.179072940927457,5.336540859262366,27.523110858170693,0,0.0,-3.0,0.0,22.55415751446328,-2.0705731342095463e-16,0.7138490362448439
p84a,10.822366203757595,4.718064761812611,9.872368987263695,1.035508450497992,33.5200817419796,0,0.0,-3.0,0.0,22.260135096657894,2.58701697053755e-15,0.9796202584354397
p85b,1.0612076031617566,0.3163535861666601,1.0051056798472404,0.11770921248098037,4.006665690960205,5,0.0,-3.0,1.5301620266905338,0.1000795914805064,1.1068562693966077e-15,0.97761238131266
p86a,1.0205519962483112,0.25608587247894327,1.0024778100612437,0.1951888742200032,3.424278271201781,12,0.0,-3.0,0.5065200386374934,0.06557997408330155,8.852876572784642e-15,0.9817146088552692
p87a,1.074359226765968,0.4566645941207251,0.9953997941171621,0.11352218500349057,3.873459798115191,3,0.0,-3.0,0.2019782122925282,0.20854255152344647,1.6218165539828396e-15,0.9525265008649166
p87b,1.0261560783942507,0.21125633860104875,1.0013318176907136,0.3201489768934683,2.1487645471427257,5,0.0,-3.0,0.7327392475516693,0.04462924059912097,2.1848955636837983e-15,0.9606327866961518
